title,artist,part_song,chord_absolute,roman_numeral,start_time,end_time
Cinta Itu Buta,Armada,intro,B,I,,
Cinta Itu Buta,Armada,intro,E,IV,,
Cinta Itu Buta,Armada,intro,C#m,ii,,
Cinta Itu Buta,Armada,intro,F#,V,,
Cinta Itu Buta,Armada,intro,A,bVII,,
Cinta Itu Buta,Armada,intro,C,bII,,
Cinta Itu Buta,Armada,intro,B,I,,
Cinta Itu Buta,Armada,intro,E,IV,,
Cinta Itu Buta,Armada,intro,C#m,ii,,
Cinta Itu Buta,Armada,intro,F#,V,,
Cinta Itu Buta,Armada,verse,B,I,,
Cinta Itu Buta,Armada,verse,G#m,vi,,
Cinta Itu Buta,Armada,verse,E,IV,,
Cinta Itu Buta,Armada,verse,F#,V,,
Cinta Itu Buta,Armada,verse,B,I,,
Cinta Itu Buta,Armada,verse,G#m,vi,,
Cinta Itu Buta,Armada,verse,E,IV,,
Cinta Itu Buta,Armada,verse,F#,V,,
Cinta Itu Buta,Armada,pre-chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,verse,B,I,,
Cinta Itu Buta,Armada,verse,G#m,vi,,
Cinta Itu Buta,Armada,verse,E,IV,,
Cinta Itu Buta,Armada,verse,F#,V,,
Cinta Itu Buta,Armada,pre-chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,interlude,G#m,vi,,
Cinta Itu Buta,Armada,interlude,F#,V,,
Cinta Itu Buta,Armada,interlude,B,I,,
Cinta Itu Buta,Armada,interlude,G#m,vi,,
Cinta Itu Buta,Armada,interlude,F#,V,,
Cinta Itu Buta,Armada,interlude,E,IV,,
Cinta Itu Buta,Armada,interlude,F#,V,,
Cinta Itu Buta,Armada,pre-chorus,E,IV,,
Cinta Itu Buta,Armada,interlude,B,I,,
Cinta Itu Buta,Armada,interlude,E,IV,,
Cinta Itu Buta,Armada,interlude,C#m,ii,,
Cinta Itu Buta,Armada,interlude,F#,V,,
Cinta Itu Buta,Armada,interlude,B,I,,
Cinta Itu Buta,Armada,interlude,E,IV,,
Cinta Itu Buta,Armada,interlude,C#m,ii,,
Cinta Itu Buta,Armada,interlude,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,C#m,ii,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,E,IV,,
Cinta Itu Buta,Armada,chorus,F#,V,,
Cinta Itu Buta,Armada,chorus,B,I,,
